cuneichar,cuneicharAltLabel,cuneicharLabel,phoneticValues,oslIDs
http://www.wikidata.org/entity/Q87555302,"CUNEIFORM SIGN EN CROSSING EN, U+1209B",𒂛,"adamen₅, adamin₅, dalhamun₂, merimer, merimeri, mermer, mermeri, nigir₃, nimgigri, nimgirgirri, urbigu₂, urbingu₂",o0001048
http://www.wikidata.org/entity/Q87555913,"CUNEIFORM SIGN LAGAB TIMES HA, U+121C8, CUNEIFORM SIGN LAGAB TIMES KU6 (𒆸 × 𒄩)",𒇈,"elamkuš₃, ellamkuš₃",o0001815
http://www.wikidata.org/entity/Q87555250,"CUNEIFORM SIGN DUB, U+1207E",𒁾,"dub, tup, dubu, dih, deh, tub, dup, dehi, šen₄, urud₂, dab₄, duba, dubba, kišeb, kišib₃, leʾum, mebulug₃, menbulug₃, mes₂, simig, tehe, tehi, ṭub, ṭup, urudu₂, zamug",o0000153
http://www.wikidata.org/entity/Q87556511,"tu, CUNEIFORM SIGN TU, U+12305",𒌅,"tu, martu, tud, tur₅, du₂, dud₂, dur₁₁, hu₂, huduš, martum, namšeše, ṭu₂, tum₁₂",o0000556
http://www.wikidata.org/entity/Q87555257,"CUNEIFORM SIGN DUGUD, U+12082",𒂂,"dugud, duguda, duguₓ, dukudₓ, gi₂₅, kaptu, ŋi₂₅, qaptu",o0000156
http://www.wikidata.org/entity/Q87556522,"U, CUNEIFORM SIGN U, U+1230B, cuneiform sign U",𒌋,"010, 10, u, giguru, šu₄, umun, bur₃, 1(bur₃), 1(u), a₆, barₓ, bu₁₂, buru₃, burudₓ, buzur, ge₁₄, gešburₓ, gibiru, giburu, guru₁₂, ha₃, hu₃, puzur, šil₃, šuš, ubuₓ, un₂, ušur₅, utahₓ, utuₓ",o0000561
http://www.wikidata.org/entity/Q87556524,"CUNEIFORM SIGN U GUD, U+1230C, CUNEIFORM SIGN UL",𒌌,"ula, ulu, ul, du₇, mul₄, raₓ, ru₅, ullu, ullu₃, ur₆",o0002459
http://www.wikidata.org/entity/Q87556530,"CUNEIFORM SIGN U OVER U PA OVER PA GAR OVER GAR, U+1230E",𒌎,"garadin₁₀, karadin₁₀",o0002441
http://www.wikidata.org/entity/Q87555286,"CUNEIFORM SIGN E2 TIMES SHE, U+12092",𒂒,"esagₓ, usiₓ",o0001162
http://www.wikidata.org/entity/Q87556563,"CUNEIFORM SIGN UM TIMES ME PLUS DA, U+1231F",𒌟,"emeda₃, ummeda₂",o0002531
http://www.wikidata.org/entity/Q87555962,"CUNEIFORM SIGN LAGAB TIMES SHU2, U+121DF",𒇟,"šu₅, šuš₅",o0001843
http://www.wikidata.org/entity/Q87556549,"CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU, U+12318",𒌘,"murubₓ, muruₓ, nesaŋₓ, nisaŋₓ, saŋₓ, zaŋₓ",o0002519
http://www.wikidata.org/entity/Q87556552,"CUNEIFORM SIGN UD GUNU, U+12319",𒌙,"murub₆, muru₁₃, murₓ, nesag₃, nisag₃, sagₓ",o0000567
http://www.wikidata.org/entity/Q87556556,"CUNEIFORM SIGN UD SHESHIG TIMES BAD, U+1231B",𒌛,"iti₂, itid₂, itu₂, itud₂",o0002516
http://www.wikidata.org/entity/Q87555307,"CUNEIFORM SIGN EN SQUARED, U+1209D",𒂝,"merimer₂, merimeri₂, mermer₂, mermeri₂",o0000646
http://www.wikidata.org/entity/Q87555977,"CUNEIFORM SIGN LAGAB TIMES U PLUS U PLUS U, U+121E7, CUNEIFORM SIGN BUL",𒇧,"bul, pul, zansur, bu₅, bur₁₀, nenna₂, nenni₂, ninna₂, ninni₄, ninnim₄, ninnuₓ, nussu, tu₁₃, tug₄, tuk₄, tuku₄",o0001788
http://www.wikidata.org/entity/Q87555308,"CUNEIFORM SIGN EREN, U+1209E",𒂞,"erin, eren, erena, erina, še₂₂, šeš₄",o0000174
http://www.wikidata.org/entity/Q87555314,"CUNEIFORM SIGN EZEN, U+120A1",𒂡,"izen, sidra, esin, šir₃, ezin, sir₃, ezem, izin, ezen, asilalₓ, asilₓ, badₓ, esen, ezema, ezena, izim, izun, ser₃, šer₃, sirda, sirim₂",o0000177
