oslid,csign,Actual,csignLabel,validLabel(T_F),cdli_label
o0037902,http://www.wikidata.org/entity/Q125092567,𒂍×𒀭,CUNEIFORM SIGN E2 TIMES AN (𒂍 × 𒀭),,
o0021192,http://www.wikidata.org/entity/Q122915001,𒂍×𒀸@t,CUNEIFORM SIGN E2 TIMES ASH TENU (𒂍 × 𒀸@t),,
o0001155,http://www.wikidata.org/entity/Q125092622,𒂍×𒁁,CUNEIFORM SIGN E2 TIMES BAD (𒂍 × 𒁁),,
o0027957,http://www.wikidata.org/entity/Q125092682,𒂍×𒈫,CUNEIFORM SIGN E2 TIMES MIN (𒂍 × 𒈫),,
o0031650,http://www.wikidata.org/entity/Q125125738,𒂍×𒊮,CUNEIFORM SIGN E2 TIMES SHA3 (𒂍 × 𒊮),,
o0002488,http://www.wikidata.org/entity/Q122416425,𒌓𒁺,CUNEIFORM SIGN E3 (𒌓 & 𒁺),,
o0002300,http://www.wikidata.org/entity/Q120353287,𒊩𒂠,CUNEIFORM SIGN EGI2 (𒊩 & 𒂠),,
o0000169,http://www.wikidata.org/entity/Q125125689,𒂕@g,CUNEIFORM SIGN EGIR GUNU (𒂕@g),,
o0027661,http://www.wikidata.org/entity/Q122900943,ELLES092,CUNEIFORM SIGN ELLES092,,
o0027663,http://www.wikidata.org/entity/Q122901034,ELLES151,CUNEIFORM SIGN ELLES151,,
o0027664,http://www.wikidata.org/entity/Q122901047,ELLES163,CUNEIFORM SIGN ELLES163,,
o0027666,http://www.wikidata.org/entity/Q122901103,ELLES164,CUNEIFORM SIGN ELLES164,,
o0027668,http://www.wikidata.org/entity/Q122901112,ELLES177,CUNEIFORM SIGN ELLES177,,
o0027670,http://www.wikidata.org/entity/Q122901283,ELLES179,CUNEIFORM SIGN ELLES179,,
o0027672,http://www.wikidata.org/entity/Q122901292,ELLES185,CUNEIFORM SIGN ELLES185,,
o0027674,http://www.wikidata.org/entity/Q122901305,ELLES189,CUNEIFORM SIGN ELLES189,,
o0025799,http://www.wikidata.org/entity/Q122901319,ELLES257,CUNEIFORM SIGN ELLES257,,
o0025800,http://www.wikidata.org/entity/Q122901331,ELLES270,CUNEIFORM SIGN ELLES270,,
o0025802,http://www.wikidata.org/entity/Q122901457,ELLES278,CUNEIFORM SIGN ELLES278,,
o0027676,http://www.wikidata.org/entity/Q122901465,ELLES296,CUNEIFORM SIGN ELLES296,,
o0027678,http://www.wikidata.org/entity/Q122901486,ELLES301,CUNEIFORM SIGN ELLES301,,
o0027680,http://www.wikidata.org/entity/Q122901499,ELLES307b,CUNEIFORM SIGN ELLES307b,,
o0027682,http://www.wikidata.org/entity/Q122901510,ELLES312,CUNEIFORM SIGN ELLES312,,
o0027684,http://www.wikidata.org/entity/Q122901530,ELLES313,CUNEIFORM SIGN ELLES313,,
o0000171,http://www.wikidata.org/entity/Q122901540,ELLES316,CUNEIFORM SIGN ELLES316,,
o0027686,http://www.wikidata.org/entity/Q122901552,ELLES324,CUNEIFORM SIGN ELLES324,,
o0027688,http://www.wikidata.org/entity/Q122901563,ELLES330,CUNEIFORM SIGN ELLES330,,
o0027690,http://www.wikidata.org/entity/Q122901577,ELLES358,CUNEIFORM SIGN ELLES358,,
,http://www.wikidata.org/entity/Q123156200,𒂗@g,CUNEIFORM SIGN EN GUNU (𒂗@g),,
o0027595,http://www.wikidata.org/entity/Q122914887,𒂗×𒀀,CUNEIFORM SIGN EN TIMES A (𒂗 × 𒀀),,
o0018869,http://www.wikidata.org/entity/Q125093013,𒂗×𒆳,CUNEIFORM SIGN EN TIMES KUR (𒂗 × 𒆳),,
o0108739,http://www.wikidata.org/entity/Q125125808,𒂗×𒈦,CUNEIFORM SIGN EN TIMES MASH (𒂗 × 𒈦),,
,http://www.wikidata.org/entity/Q123156185,𒂗×𒉣,CUNEIFORM SIGN EN TIMES NUN (𒂗 × 𒉣),,
o0001084,http://www.wikidata.org/entity/Q125092867,𒂗×𒌋,CUNEIFORM SIGN EN TIMES U (𒂗 × 𒌋),,
,http://www.wikidata.org/entity/Q123226331,𒂗×𒌓,CUNEIFORM SIGN EN TIMES UDU (𒂗 × 𒌓),,
o0002812,http://www.wikidata.org/entity/Q120349352,𒋙𒀭,CUNEIFORM SIGN EN2 (𒋙 & 𒀭),,
o0001063,http://www.wikidata.org/entity/Q123262643,𒂗×𒈨×𒈬,CUNEIFORM SIGN ENDIB (𒂗 × 𒈨 × 𒈬),,
o0001059,http://www.wikidata.org/entity/Q123262660,𒂗×𒈨×𒄀,CUNEIFORM SIGN ENGIZ (𒂗 × 𒈨 × 𒄀),,
o0000685,http://www.wikidata.org/entity/Q122417472,𒀀𒅆,CUNEIFORM SIGN ER2 (𒀀 & 𒅆),,
o0027953,http://www.wikidata.org/entity/Q125125835,𒂞×𒆜,CUNEIFORM SIGN EREN TIMES KASKAL (𒂞 × 𒆜),,
o0002066,http://www.wikidata.org/entity/Q122416728,𒉈𒊒,CUNEIFORM SIGN ERIM2 (𒉈 & 𒊒),,
o0000179,http://www.wikidata.org/entity/Q124867217,𒂠@t,CUNEIFORM SIGN ESH2 TENU (𒂠@t),,
o0027974,http://www.wikidata.org/entity/Q123226372,𒂷𒄑,CUNEIFORM SIGN ESHDA (𒂷 & 𒄑),,
,http://www.wikidata.org/entity/Q123226423,𒂷𒄑×𒋻,CUNEIFORM SIGN ESHDA TIMES TAR ((𒂷 & 𒄑) × 𒋻),,
o0002659,http://www.wikidata.org/entity/Q123118599,𒍠𒄩,CUNEIFORM SIGN ESHSAD (𒍠 & 𒄩),,
o0031836,http://www.wikidata.org/entity/Q124823175,𒂡@s,CUNEIFORM SIGN EZEN SHESHIG (𒂡@s),,
o0027790,http://www.wikidata.org/entity/Q125125848,𒂡×𒂅,CUNEIFORM SIGN EZEN TIMES DUN3 (𒂡 × 𒂅),,
,http://www.wikidata.org/entity/Q123156347,𒂡×𒂗,CUNEIFORM SIGN EZEN TIMES EN (𒂡 × 𒂗),,
o0187962,http://www.wikidata.org/entity/Q122915123,𒂡×𒄬,CUNEIFORM SIGN EZEN TIMES HAL (𒂡 × 𒄬),,
,http://www.wikidata.org/entity/Q123156356,𒂡×𒆏,CUNEIFORM SIGN EZEN TIMES KAB (𒂡 × 𒆏),,
,http://www.wikidata.org/entity/Q123156366,𒂡×𒉏,CUNEIFORM SIGN EZEN TIMES NIM (𒂡 × 𒉏),,
,http://www.wikidata.org/entity/Q123156380,𒂡×𒂇,CUNEIFORM SIGN EZEN TIMES NIMGIR (𒂡 × 𒂇),,
,http://www.wikidata.org/entity/Q123156388,𒂡×𒋥,CUNEIFORM SIGN EZEN TIMES RAD (𒂡 × 𒋥),,
,http://www.wikidata.org/entity/Q123301232,𒂡×𒌑×𒀀,CUNEIFORM SIGN EZEN TIMES U2 TIMES A (𒂡 × 𒌑 × 𒀀),,
,http://www.wikidata.org/entity/Q123226551,𒂵×𒌋,CUNEIFORM SIGN GA TIMES U (𒂵 × 𒌋),,
,http://www.wikidata.org/entity/Q123226572,𒂵×𒓯,CUNEIFORM SIGN GA TIMES ZATU 753 (𒂵 × 𒓯),,
o0001171,http://www.wikidata.org/entity/Q122924776,𒂵𒆜,CUNEIFORM SIGN GA.KASKAL (𒂵 & 𒆜),,
,http://www.wikidata.org/entity/Q123156536,𒂷×𒀊,CUNEIFORM SIGN GA2 TIMES AB (𒂷 × 𒀊),,
,http://www.wikidata.org/entity/Q123226587,𒂷×𒁁×𒁹,CUNEIFORM SIGN GA2 TIMES BAD TIMES DISH (𒂷 × 𒁁 × 𒁹),,
